BTC-EUR:26830.09997276, Date: 2023-10-18 16:00:02, Timezone: Europe/Bratislava
ETH-EUR:1490.28743562, Date: 2023-10-18 16:00:01, Timezone: Europe/Bratislava
MATIC-EUR:0.48759230, Date: 2023-10-18 16:00:26, Timezone: Europe/Bratislava
SOL-EUR:22.51810541, Date: 2023-10-18 16:00:42, Timezone: Europe/Bratislava
DOT-EUR:3.48808011, Date: 2023-10-18 16:01:04, Timezone: Europe/Bratislava
BTC-EUR:26704.58782359, Date: 2023-10-18 17:00:01, Timezone: Europe/Bratislava
ETH-EUR:1488.20330302, Date: 2023-10-18 17:00:22, Timezone: Europe/Bratislava
MATIC-EUR:0.48816069, Date: 2023-10-18 17:00:27, Timezone: Europe/Bratislava
SOL-EUR:22.48021209, Date: 2023-10-18 17:00:36, Timezone: Europe/Bratislava
DOT-EUR:3.47197544, Date: 2023-10-18 17:00:42, Timezone: Europe/Bratislava
BTC-EUR:26759.75102418, Date: 2023-10-18 18:00:01, Timezone: Europe/Bratislava
ETH-EUR:1487.08545008, Date: 2023-10-18 18:00:21, Timezone: Europe/Bratislava
MATIC-EUR:0.48749756, Date: 2023-10-18 18:00:27, Timezone: Europe/Bratislava
SOL-EUR:22.42337211, Date: 2023-10-18 18:00:33, Timezone: Europe/Bratislava
DOT-EUR:3.48808011, Date: 2023-10-18 18:00:38, Timezone: Europe/Bratislava
BTC-EUR:26856.17057692, Date: 2023-10-18 19:00:01, Timezone: Europe/Bratislava
ETH-EUR:1488.29803632, Date: 2023-10-18 19:00:02, Timezone: Europe/Bratislava
MATIC-EUR:0.48835016, Date: 2023-10-18 19:00:24, Timezone: Europe/Bratislava
SOL-EUR:22.38547879, Date: 2023-10-18 19:00:30, Timezone: Europe/Bratislava
DOT-EUR:3.48523811, Date: 2023-10-18 19:00:34, Timezone: Europe/Bratislava
BTC-EUR:26837.38496353, Date: 2023-10-18 20:00:09, Timezone: Europe/Bratislava
ETH-EUR:1486.63073024, Date: 2023-10-18 20:00:01, Timezone: Europe/Bratislava
MATIC-EUR:0.48598183, Date: 2023-10-18 20:00:24, Timezone: Europe/Bratislava
SOL-EUR:22.36653213, Date: 2023-10-18 20:00:29, Timezone: Europe/Bratislava
DOT-EUR:3.48050144, Date: 2023-10-18 20:00:35, Timezone: Europe/Bratislava
